name,company,area,min_salary,max_salary,description,link
web前端,新希望金科,成都·武侯区·石羊场,11.0,22,岗位职责：1、负责金融行业C端获客系统与部分web平台端开发。2、理解业务需求以及各种应用场景，能提出产品优化建议。3、积极主动，具备良好的团队协作意识，努力将项目往前推进。任职要求:1、全日制本科且一本及以上，2年以上前端工作经历；2、熟悉html、css、javascript、es6基础知识和技能；3、熟悉vue，微信小程序开发。有较为丰富的项目应用经验；4、熟悉react或nodejs开发，有过C端项目经验者优先。5、对前端技术有持续的热情，善于优化项目，乐此不疲的优化程序性能；6、逻辑思维严密清晰，善于沟通和表达，积极活泼。,https://www.zhipin.com/job_detail/f9af34b2a9e5a6d21nN729q-GFpZ.html?lid=4XjNNXJbVRL.search.87&securityId=xVdqnS8TsVws8-o1M0Yf0lITVHq4HrVLclTdgMZi00icNV2whwdIC7FluYsCsi1qF_NUGPSTUNn4hq9azpytfKLVc8PYuExO5M4yzBPk39jjgBK3Ew~~&sessionId=
web前端,电科网安,成都·武侯区·新会展中心,11.0,20,【岗位职责】1、利用web前端技术负责产品的开发，包括前端js、html开发工作；2、持续优化前端页面和访问速度，搭建高性能、高可用和安全的前端技术架构；3、基于html编写可复用的用户界面组件；4、配合后台工程师一起研讨技术实现方案，进行应用及系统整合。【任职要求】1、全日制统招本科及以上学历，计算机、通信、电子等相关专业(硬性要求)；2、3年及以上web前端实际开发经验；3、精通Javascript、AJAX、HTML、CSS、Bootstrap等技术；4、熟悉Vue、Angular、React等至少一种前端框架，Vue技术栈优先；5、对模块化、重构、性能优化、跨浏览器兼容、提高系统的扩展性有丰富经验；6、熟悉HTTP协议，了解TCP/IP的基本工作原理，了解web安全相关知识；7、熟悉常用的WEB开发调试工具，熟悉可视化库(如Echarts、d3等)；8、了解一门服务器编程语言，如Java等；9、有强烈的上进心和求知欲，善于学习、沟通和表达，有强烈的团队意识和执行能力。,https://www.zhipin.com/job_detail/7ee4f66b0fccb3781XJ-0t21FVNX.html?lid=4XjNNXJbVRL.search.286&securityId=Dw9eQ8N3n8ai--z1nQJDLCF3UgPpyixdAayTiyHpbzJK4O_zGmm0C_fgBfxINBj8Km84RsqHyrDssKtebH7bM2pHI7R5cqXcEl-OrQru0u_UzbHryNw~&sessionId=
前端,华为成都,成都·郫都区·高新西,12.0,24,工作职责：了解华为云安全业务痛点和效率提升诉求，转化为软件需求，并完成相关产品的编码开发工作。岗位要求：1.本科及以上学历，1-3年以上软件开发工作经验；2.精通基本的web前端技术，css，js，html；3.熟练掌握jquery，bootstrap，angularjs或angular7-8或vue等前端框架；4.熟练开发前后台交互（restful），可以使用前端插件实现复杂功能，有网站性能优化，解决兼容性问题等经验；5.具备一定的UCD，UX设计能力优先工作地点：成都郫都区西源大道1899号,https://www.zhipin.com/job_detail/99a05d2e76f3e3cf0Xxy09m0ElQ~.html?lid=4XjNNXJbVRL.search.50&securityId=TVcwoDTymwzEA-z1N-wssst9G1TGy12_EnXIh0W1b4MjpuI0eRyjXlQPtl65mJfZFwpaw-CWaE3HivNKd7kL8GbO2vnaxHi7ej0jJdfsXlH9mdI~&sessionId=
web前端,跨世纪软件,成都·武侯区·玉林,12.0,15,岗位职责：1.负责前端整整体技术架构规划、独立设计开发和优化；2.参与需求评审、能够结合业务及前端技术编制开发方案、设计文档；针对交互提出建设性意见；3.负责公司BIM+GIS业务系统Web端产品前端相关研发； 4.负责把原型设计转化为符合 W3C 标准的、兼容多种浏览器、移动设备的前端代码； 5.配合项目组内其他工作，保持与其他成员的良好沟通，推进项目进度，保证产品质量； 职位要求：1、统招本科以上学历，具备3-5年或以上web前端工作经验，至少2年vue项目经验；2、熟练掌握vue框架，掌握其原理，能独立开发常用组件； 3、熟练掌握HTML5、CSS3、JavaScript开发相关知识，实现产品所需的动画效果以及交互效果； 4、熟悉W3C标准与ES规范，熟悉Web语义化； 5、有较强的页面制作功底，并具有一定的页面审美意识； 6、熟练掌握盒模型、常用布局以及浏览器和移动设备兼容性； 7、良好的沟通与表达能力，思路清晰，有强烈的责任心和创新意识，业务逻辑理解与分析能力强。8.掌握React.JS、Node.js、GIS相关开发经验优先考虑,https://www.zhipin.com/job_detail/b52247e6af1bb7521XV-39S_FVZS.html?lid=4XjNNXJbVRL.search.266&securityId=UyWLQVr6-2sW--u1tjJamI1IxE1RqRsZJQrf92NKCHGoZVvunl7TsIFPh6V3Y1KgbcwTytVTBaTIyAJl30Q12_SdsiVajHL89s85z0L9UYwYJBti_Q~~&sessionId=
web前端,北京宣禾科技,成都,12.0,18,"高级前端开发程师 | 10 ~ 20K | 成都，高新区，天府五街地铁口 | 1人一、岗位职责1. 参与公司技术平台建设，主要负责前端方向的方案设计和技术攻坚；2. 参与公司产品的设计和实现。3. 解决产品开发过程中的疑难问题，性能优化问题。二、岗位要求1. 计算机相关专业，本科以上学历，5年以上工作经验；2. 能够独立完成网站脚手架搭建，具备较强自学能力，了解B/S架构工作原理；3. 熟悉React/Vue/Angular等类似MV*框架实践经验，具备独立项目开发能力；4. 熟悉Node.js技术及生态，熟练使用npm/webpack/gulp等工具链；5. 熟悉前端性能的优化，熟悉使用Chrome前端调试工具；6. 具有良好的言语表达能力，善于与人沟通合作，有良好的团队意识及高度责任心;7. 关注前端技术发展，乐于学习分享，良好的沟通心态，能承受一定的工作强度。三, 公司简介本公司是一家初创的致力于区块链技术落地应用的新型科技公司。由新加坡LUSHENG PTE LTD创始人Lu Xing女士投资创立，为LUSHENG公司提供完整的技术解决方案和metaverse平台开发工作。LUSHENG公司总部位于新加坡，在区块链和数字货币方面有成熟的发行及运营经验。本公司即将于2021年11月交付一款名为SEED的APP端NFT市场产品，并将进行后续的WEB端研发。同时，本公司拥有大量高端的游戏渲染技术积累，开发流程工具及可视化编程工具积累，并且和国内多家AI提供方有良好的合作关系，预计在2021年底开启metaverse相关领域的探索。Metaverse概念方兴未艾，下场的各个公司百舸争流。本公司将会以NFT市场作为切入点，集合区块链与自身游戏技术优势，打造以轻代码UGC为核心功能的Metaverse产品，先行一步，在几年后的metaverse大势中力睁一席之地。由于公司业务发展需要，现诚征有识之士共襄盛举。",https://www.zhipin.com/job_detail/6b0b2293c59232781Xd72ty4EVBX.html?lid=4XjNNXJbVRL.search.235&securityId=Trk9WT3oEK3fR-M1yz0Bvw7Zg5BuJctXJ4Gx1wFrAm4h1chFTg0ahNg7ySl4Jpk_84YjikS8LvKDYzMQRsCLQRMDIVx9nxM6Z1w2-4SsdmdpgqBcFIoV&sessionId=
web前端,捷远互联,成都·锦江区·合江亭,12.0,20,web前端1. 对于h5、css3、bootstap、响应式布局有一定实际操作经验；2. 精通javascript、jquery、ajax等web技术，对前端有优化经验；3. 精通html、css等网页制作技术、熟悉页面架构和布局；4. 熟悉数据驱动视图.,https://www.zhipin.com/job_detail/68e3adcfb76613a30ndy2d-9EFc~.html?lid=4XjNNXJbVRL.search.137&securityId=lnUJhp99I1l9K-m1u9AVt3eakfCKGw9EOs-mqbDB6L83riVv1RIsrQEIDHk6_heSVXaldckAi0u9nosordIqnIWoFtFHzw0ZlSpKyBOxpr03mNyf&sessionId=
前端开发,江苏楚兴,成都·武侯区·新会展中心,12.0,18,1）大学本科及以上学历，计算机相关专业；2）熟悉javascript、html5、CSS等开发内容；3）3年以上web界面开发工作经验，并参与过大型网站的设计、开发工作4）熟悉react.js、node.js、bootstrap等开发框优先；至少熟练掌握Vue/react/angular等一种主流框架；5）具备良好的沟通力、表达力、团队协作力以及责任心；6）具备金融行业软件研发经验者优先。,https://www.zhipin.com/job_detail/8c78db6d019a6c421XZ73tq_GFdS.html?lid=4XjNNXJbVRL.search.86&securityId=7IbNpYohUFKQL-A1O3npRzhGIlqAI-8OrI63klblEa7rNuTmGgYzopT4O1nWTdtDVrMebtGopbZ2Nn66RLX_-OdL-koO3BBDnzzl8vkdy5v5TYp2PhGd&sessionId=
前端,中移物联网成都,成都·武侯区·新会展中心,12.0,20,工作职责：1、负责开源社区业务的web前端架构设计和研发。2、深度参与产品的需求讨论，制定技术解决方案，并实施。3、负责前端工程化、流程化、模板化，以提高前端开发效率。4、参与前端基础设施建设，打造高效的研发工具链。任职资格：1、统招本科及以上学历，计算机相关专业。2、有扎实的JavaScript语言基础，理解JavaScript原型继承、函数、作用域，熟练使用ES6或typescript，掌握常见异步处理方案，如Promise等等，5年以上前端开发工作经验。3、必须具备vue全家桶开发经验，具有良好的代码风格、接口设计与程序架构。4、熟悉nodejs，有node服务端开发经验或vue服务端渲染开发经验者优先。5、熟悉HTML5、CSS3，理解WEB标准和兼容性，对前端性能优化有深刻的实践经验。6、思路清晰，具备良好的沟通能力和团队协作精神。,https://www.zhipin.com/job_detail/e724d795a03185701nVz39i4ElJQ.html?lid=4XjNNXJbVRL.search.36&securityId=xenAkTMnI3Red-U1wNcQMAQ_pvrZTg1-DexX9h2tkSHSWVNjeoaRqTFdoC9AJaAPldBOjC5PIiHKtG8hqMSIF3wes7D2LKOLE8RB5iZgS8KhaWRC560~&sessionId=
前端开发,机遇华夏,成都·武侯区·新会展中心,12.0,16,"岗位要求：1. 能熟练使用HTML/CSS，会HTML5, CSS3；2. 扎实的Javascript开发能力，熟练使用JS库，熟练运用Jquery, EasyUI, BootStrap；3. 熟练运用vue/angularJS/react，至少熟练其中一种；4. 具有较好的抽象能力，模块化架构设计能力；5.实际3年+相关工作经验",https://www.zhipin.com/job_detail/45d4a32027ef98360nV72tm7FFM~.html?lid=4XjNNXJbVRL.search.120&securityId=0JEg0DBWgK099-C1qbysPh9EQ0NRWTmJTQpppN0I2Y04cyVEQseFuCX_VmlS8O_zkc3KAryKZQY7LZeljhc2Uiu6RQEU1zMl6DYYHb4o996-ohvp&sessionId=
web前端,成都趣乐多,成都·武侯区·新会展中心,13.0,18,负责西游网游戏官网、平台页面等相关页面的前端工作，确保在不同平台、设备上兼具优质的用户使用体验。负责H5，QQ、微信小游戏SDK开发维护工作。职位要求:1. 掌握专业的HTML/CSS/JS方面的知识；2. 能够写出高性能、高可维护性的代码；3. 注重利用合理的设计模式和模块化的组织方式对代码进行架构；4. 具备HTML5/CSS3及手机浏览器上的开发经验；5. 从Web前端开发2年以上经验；6. 有团队协作精神。既善于学习，乐于探索，又不墨守陈规；7. 熟练掌握VUE2或VUE3框架优先,https://www.zhipin.com/job_detail/ec1b869e43ac2a261nN-39S-GVpZ.html?lid=4XjNNXJbVRL.search.262&securityId=g64Gn7UvGmnnE-b1vqSBgFnnzG5dOLHcytqnOHKmcojl9zRJla3LZo969MYyHCEZJ6g1fsg6q-HbBqIHXXF6xAxROanp714jfimqLv9f0oJh_2hg&sessionId=
高级前端,成都新纽,成都,13.0,18,"请仔细阅读本职位详情！！！！！要出差，出差地：珠海工作地址：珠海市香洲区凤凰北工行大厦1、学历要求统招大学本科以上毕业，获得计算机相关专业、金融专业、财会专业学历、学位证书。2、大学本科 5年以上相关工作经验;3.掌握符合开发需求的计算机技能，如Java开发语言、数据库技术等，4.熟练掌握开源基础组件springboot、Spring + Spring MVC，JQuery ，Mybatis 基本框架的使用5 .扎实的前端基础：HTML(5),CSS(3),ES5/ES6等；6.熟悉Vue、Webpack、Node.js、ElementUI、Jqurey、Ajax、json、less/sass、git/svn等，并有完整Vue前端开发项目经验；7.熟悉Vue前端开发完整流程与全局状态管理，能够独立搭建Vue前端项目，完成交互逻辑开发、获取数据页面渲染、打包上线等工作8.掌握web标准，对主流浏览器兼容性问题有一定研究；9.习能力强，具有快速适应项目的能力，能适应高强度的工作;具有良好的口头及书面沟通能力。10. 能适应高强度的工作;具有良好的口头及书面沟通能力。具备良好的应用研发实战能力及项目实施经验11.掌握领域建模的理论与方法，并有实际项目建模经验 12.有银行等金融行业项目经验优先",https://www.zhipin.com/job_detail/1e11ae91c24eb0151Hd62t-4FVJU.html?lid=4XjNNXJbVRL.search.205&securityId=X15xJ8dXeWho5-e1XRqDFhFzH8wVmsST98LNDqFWknXG_1k2PRHviAuakLHCtf4KPb3-rMFEYwZJN5ofUTi5fnSlLGtlmPQrDybEkr6pyxcaQd66Z93J&sessionId=
前端开发工程师-vue3,神州信息,成都·武侯区·石羊场,14.0,18,"技术要求： 1.前端基础知识扎实，有组件化，工程化意识，能够编写高性能、高质量、通用化前端组件。 2.熟练运用H5、CSS3、TypeScript、JavaScript等;具备Vue3,uniApp等框架实际开发经验。 3.对技术有强烈的进取心，具备优秀的分析问题和解决问题的能力，不断优化用户体验。 4.熟练掌握移动端(小程序，H5，APP等)开发，熟悉主流移动浏览器的技术特点，有多个PC端、移动端项目经验;有大型项目经验优先。 5.具有良好的代码管理习惯，熟练使用Git，云效等工具。 软技能： 1.和产品，后端，测试，UI都能有效的沟通，主动性强，能够独立完成需求交付。 2.熟悉前后端协作模式，具有良好的技术设计和抽象能力。 3.良好的设计和编码能力，热爱写代码，能产出高质量的设计和代码参与团队技术建设能够完成相应领域调研及功能设计与开发。 4.积极乐观，责任心强，工作认真细致，有良好的团队沟通和协作能力。",https://www.zhipin.com/job_detail/0830a337bfe1424b1Hd409i1FVJQ.html?lid=4XjNNXJbVRL.search.59&securityId=ZPoaVJ4HXfGgb-e1ShZrqlJaosVEoMwMlbwXiDcpWlfSoBzUAO3EkGymTbVRc62FN7qqoJ5SXDgIhwk0pPQKMyEe1L1lZQfSBwW5qyulz58ZP01cx1U~&sessionId=
