name,company,area,min_salary,max_salary,description,link
监理员,中锦冠达工程顾问,成都·武侯区·新会展中心,3.0,5.0,基本要求：大学专科及以上学历，工民建或土木大类专业，年龄30周岁以下，持四川省监理从业人员监理业务培训证书优先。岗位职责：负责依照《建设工程监理规范》（GB/T 50319-2013）中的岗位职责、工作要求执行公司所分配的工作任务，主要包括但不限于“检查施工单位投入工程的人力、主要设备的使用及运行状况。进行见证取样。复核工程计量有关数据。检查工序施工结果。发现施工作业中的问题，及时指出并向专业监理工程师报告”等其他要求：接受应届大学毕业生，熟悉WORD、Excel等软件。,https://www.zhipin.com/job_detail/29c4387a8ac9ab521XN73ty1GVFR.html?lid=4WqP1pKEbEJ.search.34&securityId=TML3k6tGtHa2j-g1B3IFqniNcXxKy2xbywoGlgCUw0F3MFhSIeApnNTYcu6lIfTCx7UsQfqgBCpGaq0g8DESXEbHonq-gHnCWu8_bT3WcKReUsPfDX595p4U7MZfHnMB-tPLf15_glVuAD0rul1UgbF0&sessionId=
解决方案工程师（实习生）,国汽智端,成都·双流区·华阳,3.6,4.8,岗位职责： 1. 参与智能网联示范区解决方案和咨询设计；2. 参与现场踏勘和交通流量调查；3. 参与智能网联示范区图纸绘制和分类整理工作；4. 编写相关文档、制作汇报文件，完成分配的其他工作任务。任职要求： 1. 全日制本科及以上学历，交通、计算机、通信、土木、车辆等相关专业；2. 能熟练运用office办公软件、CAD绘图软件优先；3. 能熟练运用交通仿真软件，TransCAD、Vissim优先；4. 学习能力较强、善于沟通；,https://www.zhipin.com/job_detail/5106efe37df79af31HB82dW6EVZZ.html?lid=4WqP1pKEbEJ.search.22&securityId=rM3PbyOPUcV6J-81TeCZ2MTvIgn5nLytaZ6f7iJnPNmzdC6lRCq1mXXawBcV21NF-q2f_XnCASxfjxRIAK4Qh4fgtsUVQc_F1NQDHYHiTKUrRI9kgIg~&sessionId=
声学工程师,森海鑫声学,成都·青羊区·文家,4.0,8.0,岗位职责1.通过使用声学软件，建模并模拟现场，分析其相关声学数据，针对性提供声学方案，撰写声学报告；2.协助公司其他部门提供基本声学咨询；3.对声学材料进行相关的声学测试及认证。岗位要求：1.本科或以上，机械，土木，声学工程等相关专业，具备基础声学知识；2.熟用SKETCHUP或者SOLIDWORKS等相关3D建模软件；3.熟用EASE或ODEON或相同的声学建模软件。,https://www.zhipin.com/job_detail/4b8099937b5ca0261HF729W4E1o~.html?lid=4WqP1pKEbEJ.search.40&securityId=lbyFPkao9efGn-t1X1tD6FzT_gKLRRxNWv8EU39zyCDugMGs6--S8XNH-bvfu46wORUUdODLXjRvCreItYRIkcl-bOjgYVeVKPMpiw62BG5Xgs4L&sessionId=
成本管理员,四川信科,成都·武侯区·新会展中心,4.0,5.0,一、专业要求工程造价专业、工程管理专业、施工监理专业、土木/结构专业、统计学专业。二、学历要求大专及以上学历（含应届毕业生）三、工作经验要求（有以下工作经验者优先）1、从事成本数据分析、报告撰写工作经验者；2、从事资料梳理、统计、分析工作经验者；3、从事施工现场工序监理、巡查、验收工作经验者；4、熟悉各项现行工程定额，计量计价规范及相关法规规则。四、技能要求熟练使用word、excel、ppt等office办公软件；熟练操作电脑软件系统，能短时间学习掌握并使用行业软件；具有较强的沟通表达能力；文字及语言功底较强。五、职位描述1、成本分析工作：完成公司成本类项目数据提取、数据采集、数据处理、数据分析等工作，并能独立完成成本分析报告的撰写。2、定额编制、价格标准编制工作：完成定额或价格标准现场写实、数据采集整理、数据统计分析、数据成果编制、汇报材料撰写等工作。3、踏勘、调研工作：根据项目情况，实地踏勘现场，完成工作内容、工序流程、项目情况的实地调研、资料采集、现场写实等工作。能接受公司调配及出差等任务。,https://www.zhipin.com/job_detail/253b49135d034a191nV90ty1FFpU.html?lid=4WqP1pKEbEJ.search.67&securityId=Xt4vLIsYq4i3a-m1bZnhALxOBFw45bjGvUPJamVmlIlgXTj0JfyrbgDdAyjDLqkw0H1HVxQalps-7Efx8Nc7myJ2aOLMVruZHHff-hTW4TJ7_Bex1A~~&sessionId=
土建工长,锦天下,成都·武侯区·簇桥,4.0,6.0,岗位职责：1.根据项目施工图 技术要求 进度 工程估算程序 质量要求及安全标准实施现场施工.2.施工资源控制：人力 材料 机具和设备的控制与管理.3、根据项目经理和技术负责人提供的资料记录项目进展4、确保每日和每周的计划落实到位。5、确定施工人员以达到施工进度，监督施工人员以确保施工计划的实施6、 负责施工现场情况，难点问题可以迅速根据现场情况和设计工程师的意见进行施工调整7、及时向工程主管报告工作，解决施工管理过程中的问题，协调各方单位的关系。任职要求：1、大学专科及以上学历，园林、建筑、土木、工民建类相关专业2、2年以上景观园林土建施工管理工作经验，具备专业资质者优先考虑3、对各专业施工工艺有全面了解，具有出色的与项目业主或项目管理方以及与工程设计方的沟通、交流及协调能力；4、 具备很强的施工组织能力以及分析和解决施工中出现问题的能力，以及工程项目施工管理能力；,https://www.zhipin.com/job_detail/d9ef73f1ebfa03a31HR-3925EltX.html?lid=4WqP1pKEbEJ.search.61&securityId=z1okLT2xVw9jN-x1GTnDQCKW8Zyxh59sUuV_G3qKtVg62Iwcbys-KlhXzDwYytkTVkGOxHnPbWmuSPtTMcHkeKv0gRrlBg-FFBI0dPu9Rlw-ULGler1-Q4ouELh3jGUfgGqFPy0-VI015XKXHPqvswP-&sessionId=
环境专员（保洁领班）,华熙鑫安成都物业,成都·锦江区·三圣乡,4.0,5.0,岗位职责:1、负责现场协调及巡视督导工作；2、负责监督员工切实履行各工作岗位职责尊守各项规章制度；3、负责本部门外包全体员工的考勤、绩效管理；4、负责检查外包主管及员工各种工作检查表；5、建立良好的团队精神，对上级的工作要求起到上传下达的作用，了解员工的工作思想状况，及时与外包管理员协调处理能更好的解决现场卫生问题；6、负责所辖区现场卫生清洁品质；7、每日完成管辖区域台卡巡视和检查。8、负责整理当日工作文案，照片进行存档。9、负责督促管理小区绿化养护工作；10、监督绿化外包方日常绿化养护工作和检查工作，定期对绿化外包方进行工作考核；11、管理小区环境保洁工作，负责现场管理督导工作；12、定期制定园区及公园绿化消杀计划；13、负责每月资料整理存档。14、负责每月外包消杀计划的审核；15、负责对小区消杀工作完成情况进行监督；16、负责检查具体的消杀监督工作；17、负责整理每月消杀工作照片及资料存。任职要求：1、大专学历及以上，土木、园林相关专业。2、优秀应届生，在校做过学生干部优先考虑，有物业工作经验者优先考虑。3、具备良好的沟通与协作意识，富有团队精神。4、有较强的逻辑思维能力及文字表达能力。,https://www.zhipin.com/job_detail/200ac3cfe1ccafcb1n1929i1ElFV.html?lid=4WqP1pKEbEJ.search.80&securityId=KTmR5f2IpzuHE-F1yZt6msbKCAYDtzkQj12y088eD3sveGdgxASVYAmLgp_ygcVv20JulLji_1Kclvj-1noMtUNXRWQhdE5UcQPNbQd47o9NuQTUIGfp&sessionId=
物业综合维修工,新希望服务,成都·武侯区·双楠,4.0,5.0,"岗位职责:1、熟悉消防、电梯、给排水、强弱电、维护、巡检、普通维修工作，完成设备巡查、记录运行数据、排查故障；2、熟悉电梯、消防、强弱电、给排水、土建及装饰装修故障排查和基本维修处理；3、负责土木和装饰装修日常维修；工作要求:1、持低压电工证，有高压电工证优先录用。2、45岁以下上班时间：8：30~17：30,月休6天薪资福利:4500购买五险",https://www.zhipin.com/job_detail/81c6e2f5116bb09f1Hd62ty6FlFQ.html?lid=4WqP1pKEbEJ.search.42&securityId=nRByHyZ5mwtHG-M1Gu93dlhOHSovvHvsC81PR3G6xrKqzTb2TaEKAC3ObMsqo5vS6ERO5CVgDdME43YnyoCa9qQw_c7NL5uZwOfsLthkkfBCh-FJo-4~&sessionId=
资料员,四川邮科通信技术...,成都·武侯区·肖家河,4.0,5.0,工作职责：1.负责工程项目图纸、合同等文档的收集整理汇总；2. 负责工程项目信息的PM系统录入；3. 负责跟踪收集、整理项目组施工过程中各类图纸变更通知、工程合同及其他工程项目方面的文件资料；4. 负责工程竣工验收资料的撰写；5. 负责工程所有档案资料存档管理并及时上传公司服务器；6. 定时准确向上级汇报工作，及时向协作部门提供项目资料；7. 及时监督检查各项目的工程施工队竣工资料的编制和规范管理情况；8. 负责建设中心、监理、设计等相关单位的文件、资料报送工作；9. 其它上级领导临时交办的事务。任职条件：1.大专以上学历，通信、土木等相关专业2. 3年以上相关工作经验；3. 熟悉工程的预算、结算、决算的相关工作流程；4. 工作认真，责任心强、良好的沟通协调能力。,https://www.zhipin.com/job_detail/7042c0989af19a7d03Z62tW4EVU~.html?lid=4WqP1pKEbEJ.search.54&securityId=_FTuaAr9jHQN6-B1qVKmvvlpNzk2DbAaGx0zb171wNFe3HRgSpYrH3WB7O9GP1MlACwjtM6cm8W5TfLWlB9ggQI9GMcSjSXNU8Dy-yMlNaeiPyl-&sessionId=
文字编辑,英拓创文,成都,4.0,8.0,岗位职责：按照国家图书出版规范，完成高等教育类图书初复审及编辑加工、校对等工作。任职要求：1、大学统招本科及以上学历，机械，计算机，电子，电气，土木，材料，化工，经济管理等专业。2、有较强的文字功底。3、有较高的工作热情和学习意识，有很强的责任心。4、有图书编辑加工经验，初、中级编辑资格证书者优先。5、同时提供向策划编辑岗位发展的通道。薪酬待遇： 1、底薪+阅读量计件付酬，多劳多得。 2、五险一金。工作时间：周一至周五，8：30-12：00，14：00-17：30,https://www.zhipin.com/job_detail/9ca023720054d0eb1nZ-2Nq-EFJQ.html?lid=4WqP1pKEbEJ.search.45&securityId=ikcwkvwHWRUNJ-41nkWkSWyIiKMm-sViH-QMjsVkUSV_HPIGwe7yDmEcP8BHOZpLBcdtejrDwqnX66lNqUHWf2VUBT5-N9mEEMyOj5VGmAfhLiSqoNI~&sessionId=
装配式建筑工程师,思鹿建科,成都·双流区·中和,4.0,6.0,"一.职责描述1.负责完成PC装配式结构的深化设计及配合施工进行现场指导。2.负责衔接与甲方，设计之间的问题，指导并解决PC装配式设计方案。3.负责PC装配式项目前期咨询，及拆分方案制定。二.任职要求1.全日制本科土木及相关专业学历。2.有Bim相关软件建模经验，熟悉装配式深化设计流程。3.能熟练掌握CAD，或Revit,Tekla及相关软件。4.有现场施工经验，具备一定相关专业识图能力。",https://www.zhipin.com/job_detail/899627dc591ae74a1nF62Nq5FVpU.html?lid=4WqP1pKEbEJ.search.23&securityId=jHhEV0q3vvEE6-M1DL2Au7FQ9Mlc5BN7hJfmlFwOpOrsahYNwVKm_qzQS1cY0aSpSXmWw3LOr_gCT0DMjtb0kPxwqSN017qvxBq_su23Xpbuew7j4Do~&sessionId=
专利代理工程师（机械、电学）,力久律所,成都·武侯区·火车南站,4.0,9.0,职位描述：1、撰写专利申请文件、答复审查意见；2、参与专利挖掘与布局、专利检索和分析工作；3、提供专利申请、答复、复审、无效、诉讼的咨询服务。任职要求：1、本科及以上学历，可接受应届生；2、桥梁、土木、机械、电子、通信等相关理工科专业；3、有专利代理经验，对知识产权感兴趣的优先；4、具有较强逻辑思维能力，具备良好的职业道德操守。,https://www.zhipin.com/job_detail/7b8bee6859498de31Xd63tq1GVFS.html?lid=4WqP1pKEbEJ.search.35&securityId=179DAGF0lje9D-s1oLXzGl7RkXyl55jA0TbJrvfOkUG45hMuHCCGUNmtgqKT2v4eNEtwxqqN_Je9b0u2TwGNKdRialXEhjcWyfWLWedcPu8FEn8A0A~~&sessionId=
施工助理,中平筑业设计,成都·金牛区·一品天下,4.0,6.0,岗位职责:1.协助责任工项目经理进行施工现场的进度、安全质量管理;2.协助责任工作对班组进行管理3.严格执行施工规范和验收标准、按图纸设计要求进行施工;4.熟悉施工图纸，参与设计技术交底及图纸会审:参与编写施工组织设计及施工方案;5.按时准确记录各类资料，参与检查分部分项工程验收及工程竣工验收作，7、有无施工经验均可，有专人带;8、责任心强，注重团队意识9、为培养公司更多专业人员，公司欢迎实习生施工任职要求:1.大专以上学历，最好是建筑，土木，建造相关专业;2.具有建筑行业相关证书者优先;3.会做资料者优先;4.有较好的团队协作精神，有较强的执行力;5.会做安装资料；6.能接受外派。,https://www.zhipin.com/job_detail/297dcc0d7f19880e1HB939i9ElpR.html?lid=4WqP1pKEbEJ.search.55&securityId=IZNbPk-npgBQX-51eS4YDyU6Pym1o9TZO7eJarv8dVxwY17b1b_Sz0O-krWZ6tKw9MO-CoAaLvioXEHcsgfKQNTHvuB7TSY8Nv-Dk2xNTMK1JoDEfWE~&sessionId=
施工安全员,和宁建筑劳务有限公司,成都·金牛区·天回,5.0,8.0,1、大学专科及以上学历（安全员B证及以上），建筑、土木、工民建类相关专业 2、3年以上土建工程管理经验，具有土建、市政、安装管理经验优先； 3、熟悉施工流程、对施工现场进行管理、包括协调、技术指导、施工进度、质量把控、材料计划的制定和修正，能够进行图纸审查和协调工作； 4、施工安全资料及现在资料员资料。 5、具有很强的责任心和事业心，具有机动车驾驶证，具备独立完成中小项目施工管理能力、有一定的人际交往和协调能力（很重要）。 6.工作时间：根据项目需要（本公司为施工劳务公司、工作时间存在不确定性、如无法接受异地上班、或者不服从管理者请勿打扰）。,https://www.zhipin.com/job_detail/20352cb4a71189501Xx42Ni1EFNU.html?lid=4WqP1pKEbEJ.search.37&securityId=fiYIHQUBwr2Ae-x1ooA0GNTLZB9MEAzRDN6pOZyiORgk6oe--ZVmO0tO9_3gVbI5wlAY2CZHE3cDfH2bXWVE_5Q_oa_Lzu-W0Zo_pJehKP-w-MpXs5Z6&sessionId=
专业监理工程师\总监理工程师代表,阡陌,成都·武侯区·大源,5.0,8.0,1.持全国注册监理工程师，或者四川省监理培训证。土木专业，能转，无在建，未锁证。2.年龄45岁以下，身体健康，形象良好。3.工作地点在成都市周边。4.5年以上现场监理工作经验。熟悉监理流程，监理资料。5.全日制大专，中级职称，优先录用。,https://www.zhipin.com/job_detail/0f5ff4000853507d1Hd43t-_EFpU.html?lid=4WqP1pKEbEJ.search.33&securityId=ljrfk3EWA5mrn--1u5GVm_7IyhIPa7fl0LtOUzHc32JAiZhWYMDXmfYrVautarYOzGk0nSTkxc-7F_Pi1HTsbaHeY-ptPrwhXowGSssTE6Q0mGKLd5U~&sessionId=
物业工程专员/主管,金优物业,成都·武侯区·世豪广场,5.0,6.0,工作职责：1、协助部门负责人对工程部门员工进行统筹管理；2、协助建立健全工程管理相关制度，完成相关作业指导文件编撰；3、协助对所管理项目进行培训指导，赋能一线提升管理能力，提升项目满意度；4、负责工程日常过程管理、品质巡检，检查报告撰写及跟踪整改；5、完成领导交办的日常事宜。任职要求：1、统招大专及以上学历，机电工程、物业管理、工程建筑、土木相关专业；2、2年物业工程管理相关经验，特别优秀的应届毕业生可适当放宽经验要求；3、熟悉物业设施设备性能、保养要点优先；4、吃苦耐劳、认真踏实，有较好的沟通协调及文字表达能力；5、熟练使用各类办公软件。,https://www.zhipin.com/job_detail/1c71bd38d4db05981HV_2tq5ElZT.html?lid=4WqP1pKEbEJ.search.49&securityId=o3mbBqzLSvvhG-b1st06EYMWuRkB4-cY-VgnkegIsOn2BHBBE0ZDTFWTsXz7xjzoHa0mBaLEOqoEanovVktkFNrOHXRS_wUACOs7XIU88TceOz7zog~~&sessionId=
机械制图师,天维模板,成都·金牛区·西南交大,5.0,7.0,任职资格：1、大专以上学历，机械类、自动化类、土木类相关专业，男女不限。2、能够熟练使用AutoCAD或SolidWorks或Pro/E或UG等软件；具备三维建模能力。3、不要求必须具备工作经验。但有桥隧行业模板设计经验的可优先考虑。 职位描述：1、负责依据根据产品设计和生产单位的生产节奏，绘制产品生产图纸。2、负责图纸标准化的具体工作和技术资料的归档。3、负责配合生产部门解决产品制造过程中的技术问题。4、负责协同配合总工程师和技术部门其他同事的相关工作。,https://www.zhipin.com/job_detail/8d55adb83b1298351X170tm4GFdZ.html?lid=4WqP1pKEbEJ.search.28&securityId=4o7HcO61-8CfM-716I0p3cJHDjcpPWIicW30sXE66s9_RuBnNCiWIKxTfofXFzsiod-M4DT30dh6a_wM8HP3oZyKqwsN1JY2fkvYArDYUgrw9UpsMn_N&sessionId=
